response_id,survey_id,submission_date,country_code,geo_id,region,collection_method,respondent_age_group,respondent_gender,respondent_displacement_status,language,ingested_at,source_system
R000023,S0001,2024-01-21,KE,G0004,Nakuru,Digital tablet,18-24,Female,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000024,S0001,2024-01-21,KE,G0001,Nairobi,KoboToolbox,55-64,Male,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000025,S0001,2024-01-21,KE,G0003,Kisumu,KoboToolbox,65+,Non-binary,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000026,S0001,2024-01-21,KE,G0002,Mombasa,Digital tablet,18-24,Female,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000027,S0001,2024-01-21,KE,G0004,Nakuru,Digital tablet,18-24,Female,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000028,S0001,2024-01-21,KE,G0001,Nairobi,KoboToolbox,35-44,Male,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000029,S0001,2024-01-21,KE,G0001,Nairobi,Digital tablet,55-64,Male,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000030,S0001,2024-01-21,KE,G0003,Kisumu,Phone interview,55-64,Male,Displaced,English,2026-05-09 17:29:06,KoboToolbox
R000031,S0001,2024-01-21,KE,G0002,Mombasa,Phone interview,18-24,Male,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000032,S0001,2024-01-21,KE,G0004,Nakuru,Paper,35-44,Male,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000033,S0001,2024-01-21,KE,G0002,Mombasa,KoboToolbox,65+,Male,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000034,S0001,2024-01-21,KE,G0001,Nairobi,KoboToolbox,35-44,Male,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000035,S0001,2024-01-21,KE,G0003,Kisumu,KoboToolbox,18-24,Prefer not to say,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000036,S0001,2024-01-21,KE,G0003,Kisumu,Phone interview,55-64,Female,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000037,S0001,2024-01-21,KE,G0002,Mombasa,Digital tablet,18-24,Prefer not to say,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000038,S0001,2024-01-21,KE,G0002,Mombasa,Digital tablet,45-54,Female,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000039,S0001,2024-01-21,KE,G0001,Nairobi,Digital tablet,55-64,Non-binary,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000040,S0001,2024-01-21,KE,G0003,Kisumu,Phone interview,55-64,Female,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000041,S0001,2024-01-21,KE,G0002,Mombasa,KoboToolbox,35-44,Non-binary,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000042,S0001,2024-01-21,KE,G0002,Mombasa,Digital tablet,25-34,Male,Displaced,English,2026-05-09 17:29:06,KoboToolbox
R000043,S0001,2024-01-21,KE,G0004,Nakuru,Phone interview,45-54,Male,Displaced,English,2026-05-09 17:29:06,KoboToolbox
R000044,S0001,2024-01-21,KE,G0001,Nairobi,KoboToolbox,45-54,Male,Displaced,English,2026-05-09 17:29:06,KoboToolbox
R000045,S0001,2024-01-21,KE,G0004,Nakuru,KoboToolbox,55-64,Male,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000046,S0001,2024-01-21,KE,G0004,Nakuru,Digital tablet,45-54,Prefer not to say,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000047,S0001,2024-01-21,KE,G0002,Mombasa,Phone interview,45-54,Non-binary,Displaced,English,2026-05-09 17:29:06,KoboToolbox
R000048,S0001,2024-01-21,KE,G0003,Kisumu,Phone interview,65+,Male,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000049,S0001,2024-01-21,KE,G0003,Kisumu,Paper,35-44,Non-binary,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000050,S0001,2024-01-21,KE,G0001,Nairobi,Paper,25-34,Male,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000051,S0001,2024-01-21,KE,G0002,Mombasa,KoboToolbox,45-54,Prefer not to say,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000052,S0001,2024-01-21,KE,G0004,Nakuru,KoboToolbox,25-34,Prefer not to say,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000053,S0001,2024-01-21,KE,G0001,Nairobi,Phone interview,45-54,Female,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000054,S0001,2024-01-21,KE,G0004,Nakuru,Paper,35-44,Prefer not to say,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000055,S0001,2024-01-21,KE,G0004,Nakuru,KoboToolbox,18-24,Prefer not to say,Displaced,English,2026-05-09 17:29:06,KoboToolbox
R000056,S0001,2024-01-21,KE,G0002,Mombasa,KoboToolbox,35-44,Prefer not to say,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000057,S0001,2024-01-21,KE,G0004,Nakuru,KoboToolbox,65+,Female,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000058,S0001,2024-01-21,KE,G0002,Mombasa,Paper,25-34,Prefer not to say,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000059,S0001,2024-01-21,KE,G0002,Mombasa,Phone interview,65+,Non-binary,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000060,S0001,2024-01-21,KE,G0001,Nairobi,Digital tablet,55-64,Prefer not to say,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000061,S0001,2024-01-21,KE,G0002,Mombasa,KoboToolbox,55-64,Male,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000062,S0001,2024-01-21,KE,G0003,Kisumu,KoboToolbox,55-64,Female,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000063,S0001,2024-01-21,KE,G0003,Kisumu,KoboToolbox,55-64,Non-binary,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000064,S0001,2024-01-21,KE,G0004,Nakuru,KoboToolbox,45-54,Non-binary,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000065,S0001,2024-01-21,KE,G0004,Nakuru,Paper,65+,Non-binary,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000066,S0001,2024-01-21,KE,G0004,Nakuru,Phone interview,45-54,Non-binary,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000067,S0001,2024-01-21,KE,G0001,Nairobi,Digital tablet,45-54,Male,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000068,S0001,2024-01-21,KE,G0004,Nakuru,Digital tablet,18-24,Prefer not to say,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000069,S0001,2024-01-21,KE,G0001,Nairobi,Paper,18-24,Male,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000070,S0001,2024-01-21,KE,G0002,Mombasa,Phone interview,65+,Prefer not to say,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000071,S0001,2024-01-21,KE,G0001,Nairobi,Digital tablet,25-34,Prefer not to say,Displaced,English,2026-05-09 17:29:06,KoboToolbox
R000072,S0001,2024-01-21,KE,G0003,Kisumu,Phone interview,35-44,Non-binary,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000073,S0001,2024-01-21,KE,G0002,Mombasa,Paper,65+,Prefer not to say,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000074,S0001,2024-01-21,KE,G0003,Kisumu,KoboToolbox,25-34,Non-binary,Displaced,English,2026-05-09 17:29:06,KoboToolbox
R000075,S0001,2024-01-21,KE,G0004,Nakuru,KoboToolbox,18-24,Non-binary,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000076,S0001,2024-01-21,KE,G0003,Kisumu,Paper,18-24,Non-binary,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000077,S0001,2024-01-21,KE,G0001,Nairobi,Paper,18-24,Prefer not to say,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000078,S0001,2024-01-21,KE,G0002,Mombasa,Phone interview,45-54,Prefer not to say,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000079,S0001,2024-01-21,KE,G0004,Nakuru,Digital tablet,55-64,Female,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000080,S0001,2024-01-21,KE,G0001,Nairobi,Paper,65+,Male,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000081,S0001,2024-01-21,KE,G0002,Mombasa,Paper,25-34,Female,Displaced,English,2026-05-09 17:29:06,KoboToolbox
R000082,S0001,2024-01-21,KE,G0004,Nakuru,KoboToolbox,65+,Male,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000083,S0001,2024-01-21,KE,G0002,Mombasa,Phone interview,18-24,Male,Displaced,English,2026-05-09 17:29:06,KoboToolbox
R000084,S0001,2024-01-21,KE,G0002,Mombasa,KoboToolbox,18-24,Male,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000085,S0001,2024-01-21,KE,G0003,Kisumu,Phone interview,18-24,Prefer not to say,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000086,S0001,2024-01-21,KE,G0003,Kisumu,Phone interview,45-54,Female,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000087,S0001,2024-01-21,KE,G0003,Kisumu,KoboToolbox,25-34,Prefer not to say,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000088,S0001,2024-01-21,KE,G0003,Kisumu,Paper,55-64,Prefer not to say,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000089,S0001,2024-01-21,KE,G0004,Nakuru,Digital tablet,45-54,Non-binary,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000090,S0001,2024-01-21,KE,G0002,Mombasa,Digital tablet,45-54,Prefer not to say,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000091,S0001,2024-01-21,KE,G0004,Nakuru,KoboToolbox,45-54,Female,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000092,S0001,2024-01-21,KE,G0004,Nakuru,KoboToolbox,25-34,Non-binary,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000093,S0001,2024-01-21,KE,G0004,Nakuru,KoboToolbox,25-34,Non-binary,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000094,S0001,2024-01-21,KE,G0003,Kisumu,KoboToolbox,55-64,Prefer not to say,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000095,S0001,2024-01-21,KE,G0004,Nakuru,Digital tablet,55-64,Non-binary,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000096,S0001,2024-01-21,KE,G0004,Nakuru,Paper,45-54,Male,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000097,S0001,2024-01-21,KE,G0003,Kisumu,Digital tablet,18-24,Non-binary,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000098,S0001,2024-01-21,KE,G0004,Nakuru,Paper,45-54,Prefer not to say,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000099,S0001,2024-01-21,KE,G0004,Nakuru,Paper,45-54,Female,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000100,S0001,2024-01-21,KE,G0004,Nakuru,Phone interview,65+,Male,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000101,S0001,2024-01-21,KE,G0002,Mombasa,Digital tablet,18-24,Prefer not to say,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000102,S0001,2024-01-21,KE,G0004,Nakuru,KoboToolbox,65+,Male,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000103,S0001,2024-01-21,KE,G0002,Mombasa,KoboToolbox,45-54,Non-binary,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000104,S0001,2024-01-21,KE,G0004,Nakuru,KoboToolbox,35-44,Prefer not to say,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000105,S0001,2024-01-21,KE,G0004,Nakuru,KoboToolbox,55-64,Female,Displaced,English,2026-05-09 17:29:06,KoboToolbox
R000106,S0001,2024-01-21,KE,G0003,Kisumu,Paper,65+,Female,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000107,S0001,2024-01-21,KE,G0001,Nairobi,Phone interview,25-34,Non-binary,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000108,S0002,2024-04-23,KE,G0002,Mombasa,Paper,25-34,Female,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000109,S0002,2024-04-23,KE,G0002,Mombasa,Phone interview,55-64,Male,Displaced,English,2026-05-09 17:29:06,KoboToolbox
R000110,S0002,2024-04-23,KE,G0003,Kisumu,Phone interview,35-44,Female,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000111,S0002,2024-04-23,KE,G0002,Mombasa,KoboToolbox,45-54,Non-binary,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000112,S0002,2024-04-23,KE,G0004,Nakuru,KoboToolbox,25-34,Prefer not to say,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000113,S0002,2024-04-23,KE,G0004,Nakuru,Digital tablet,25-34,Non-binary,Displaced,English,2026-05-09 17:29:06,KoboToolbox
R000114,S0002,2024-04-23,KE,G0003,Kisumu,Paper,65+,Female,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000115,S0002,2024-04-23,KE,G0004,Nakuru,Paper,25-34,Male,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000116,S0002,2024-04-23,KE,G0003,Kisumu,Digital tablet,25-34,Non-binary,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000117,S0002,2024-04-23,KE,G0003,Kisumu,Digital tablet,18-24,Prefer not to say,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000118,S0002,2024-04-23,KE,G0001,Nairobi,Phone interview,18-24,Non-binary,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000119,S0002,2024-04-23,KE,G0004,Nakuru,KoboToolbox,55-64,Non-binary,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000120,S0002,2024-04-23,KE,G0002,Mombasa,KoboToolbox,18-24,Non-binary,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000121,S0002,2024-04-23,KE,G0002,Mombasa,Phone interview,65+,Female,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000122,S0002,2024-04-23,KE,G0003,Kisumu,KoboToolbox,65+,Non-binary,Displaced,English,2026-05-09 17:29:06,KoboToolbox
R000123,S0002,2024-04-23,KE,G0002,Mombasa,Digital tablet,18-24,Non-binary,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000124,S0002,2024-04-23,KE,G0003,Kisumu,KoboToolbox,45-54,Non-binary,Displaced,English,2026-05-09 17:29:06,KoboToolbox
R000125,S0002,2024-04-23,KE,G0004,Nakuru,KoboToolbox,65+,Male,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000126,S0002,2024-04-23,KE,G0001,Nairobi,Digital tablet,25-34,Male,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000127,S0002,2024-04-23,KE,G0003,Kisumu,Paper,55-64,Female,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000128,S0002,2024-04-23,KE,G0002,Mombasa,Paper,55-64,Non-binary,Displaced,English,2026-05-09 17:29:06,KoboToolbox
R000129,S0002,2024-04-23,KE,G0002,Mombasa,Digital tablet,18-24,Male,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000130,S0002,2024-04-23,KE,G0001,Nairobi,Phone interview,45-54,Non-binary,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000131,S0002,2024-04-23,KE,G0004,Nakuru,Paper,55-64,Female,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000132,S0002,2024-04-23,KE,G0001,Nairobi,Phone interview,65+,Prefer not to say,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000133,S0002,2024-04-23,KE,G0003,Kisumu,Paper,18-24,Male,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000134,S0002,2024-04-23,KE,G0003,Kisumu,Phone interview,55-64,Non-binary,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000135,S0002,2024-04-23,KE,G0004,Nakuru,KoboToolbox,65+,Female,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000136,S0002,2024-04-23,KE,G0002,Mombasa,Phone interview,45-54,Male,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000137,S0002,2024-04-23,KE,G0003,Kisumu,Paper,65+,Prefer not to say,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000138,S0002,2024-04-23,KE,G0003,Kisumu,KoboToolbox,45-54,Non-binary,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000139,S0002,2024-04-23,KE,G0001,Nairobi,Digital tablet,55-64,Non-binary,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000140,S0002,2024-04-23,KE,G0003,Kisumu,KoboToolbox,35-44,Male,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000141,S0002,2024-04-23,KE,G0001,Nairobi,Digital tablet,18-24,Male,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000142,S0002,2024-04-23,KE,G0003,Kisumu,Digital tablet,35-44,Female,Displaced,English,2026-05-09 17:29:06,KoboToolbox
R000143,S0002,2024-04-23,KE,G0004,Nakuru,KoboToolbox,25-34,Female,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000144,S0002,2024-04-23,KE,G0002,Mombasa,Phone interview,45-54,Prefer not to say,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000145,S0002,2024-04-23,KE,G0002,Mombasa,Paper,55-64,Female,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000146,S0002,2024-04-23,KE,G0003,Kisumu,Phone interview,18-24,Non-binary,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000147,S0002,2024-04-23,KE,G0003,Kisumu,KoboToolbox,25-34,Prefer not to say,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000148,S0002,2024-04-23,KE,G0001,Nairobi,Phone interview,65+,Prefer not to say,Displaced,English,2026-05-09 17:29:06,KoboToolbox
R000149,S0002,2024-04-23,KE,G0004,Nakuru,KoboToolbox,45-54,Female,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000150,S0002,2024-04-23,KE,G0004,Nakuru,Phone interview,35-44,Female,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000151,S0002,2024-04-23,KE,G0002,Mombasa,Phone interview,55-64,Prefer not to say,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000152,S0002,2024-04-23,KE,G0001,Nairobi,Paper,35-44,Non-binary,Displaced,English,2026-05-09 17:29:06,KoboToolbox
R000153,S0002,2024-04-23,KE,G0002,Mombasa,Phone interview,45-54,Prefer not to say,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000154,S0002,2024-04-23,KE,G0003,Kisumu,Digital tablet,25-34,Prefer not to say,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000155,S0002,2024-04-23,KE,G0003,Kisumu,Digital tablet,55-64,Female,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000156,S0002,2024-04-23,KE,G0003,Kisumu,Phone interview,45-54,Female,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000157,S0002,2024-04-23,KE,G0004,Nakuru,Paper,35-44,Prefer not to say,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000158,S0002,2024-04-23,KE,G0002,Mombasa,KoboToolbox,25-34,Prefer not to say,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000159,S0002,2024-04-23,KE,G0002,Mombasa,Digital tablet,35-44,Non-binary,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000160,S0002,2024-04-23,KE,G0003,Kisumu,KoboToolbox,65+,Non-binary,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000161,S0002,2024-04-23,KE,G0001,Nairobi,Paper,35-44,Non-binary,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000162,S0002,2024-04-23,KE,G0002,Mombasa,KoboToolbox,65+,Prefer not to say,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000163,S0002,2024-04-23,KE,G0002,Mombasa,Paper,25-34,Male,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000164,S0002,2024-04-23,KE,G0002,Mombasa,Phone interview,25-34,Male,Displaced,English,2026-05-09 17:29:06,KoboToolbox
R000165,S0002,2024-04-23,KE,G0002,Mombasa,Phone interview,18-24,Prefer not to say,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000166,S0002,2024-04-23,KE,G0002,Mombasa,Phone interview,55-64,Non-binary,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000167,S0002,2024-04-23,KE,G0004,Nakuru,Digital tablet,45-54,Prefer not to say,Displaced,English,2026-05-09 17:29:06,KoboToolbox
R000168,S0002,2024-04-23,KE,G0002,Mombasa,Digital tablet,18-24,Prefer not to say,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000169,S0002,2024-04-23,KE,G0001,Nairobi,KoboToolbox,35-44,Female,Displaced,English,2026-05-09 17:29:06,KoboToolbox
R000170,S0002,2024-04-23,KE,G0004,Nakuru,Digital tablet,18-24,Prefer not to say,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000171,S0002,2024-04-23,KE,G0001,Nairobi,Digital tablet,25-34,Male,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000172,S0002,2024-04-23,KE,G0001,Nairobi,KoboToolbox,35-44,Male,Displaced,English,2026-05-09 17:29:06,KoboToolbox
R000173,S0002,2024-04-23,KE,G0004,Nakuru,KoboToolbox,35-44,Male,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000174,S0002,2024-04-23,KE,G0002,Mombasa,Paper,35-44,Prefer not to say,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000175,S0002,2024-04-23,KE,G0002,Mombasa,Phone interview,25-34,Female,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000176,S0002,2024-04-23,KE,G0001,Nairobi,KoboToolbox,45-54,Prefer not to say,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000177,S0002,2024-04-23,KE,G0003,Kisumu,Digital tablet,65+,Female,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000178,S0002,2024-04-23,KE,G0003,Kisumu,Paper,65+,Female,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000179,S0002,2024-04-23,KE,G0003,Kisumu,Paper,18-24,Non-binary,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000180,S0002,2024-04-23,KE,G0001,Nairobi,Phone interview,18-24,Non-binary,Displaced,English,2026-05-09 17:29:06,KoboToolbox
R000181,S0002,2024-04-23,KE,G0003,Kisumu,KoboToolbox,65+,Male,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000182,S0002,2024-04-23,KE,G0004,Nakuru,Phone interview,45-54,Non-binary,Displaced,English,2026-05-09 17:29:06,KoboToolbox
R000183,S0002,2024-04-23,KE,G0004,Nakuru,Digital tablet,55-64,Non-binary,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000184,S0002,2024-04-23,KE,G0001,Nairobi,Phone interview,55-64,Male,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000185,S0002,2024-04-23,KE,G0002,Mombasa,Phone interview,35-44,Prefer not to say,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000186,S0002,2024-04-23,KE,G0003,Kisumu,Phone interview,35-44,Female,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000187,S0002,2024-04-23,KE,G0004,Nakuru,Digital tablet,55-64,Male,Host community,English,2026-05-09 17:29:06,KoboToolbox
R000188,S0002,2024-04-23,KE,G0003,Kisumu,Phone interview,55-64,Female,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000189,S0002,2024-04-23,KE,G0004,Nakuru,Digital tablet,65+,Non-binary,Displaced,English,2026-05-09 17:29:06,KoboToolbox
R000190,S0002,2024-04-23,KE,G0001,Nairobi,Paper,45-54,Prefer not to say,Not affected,English,2026-05-09 17:29:06,KoboToolbox
R000191,S0002,2024-04-23,KE,G0002,Mombasa,KoboToolbox,25-34,Female,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000192,S0002,2024-04-23,KE,G0003,Kisumu,Digital tablet,25-34,Male,Refugee,English,2026-05-09 17:29:06,KoboToolbox
R000193,S0002,2024-04-23,KE,G0001,Nairobi,Paper,25-34,Male,Returnee,English,2026-05-09 17:29:06,KoboToolbox
R000194,S0002,2024-04-23,KE,G0001,Nairobi,Digital tablet,45-54,Prefer not to say,Not affected,English,2026-05-09 17:29:06,KoboToolbox
