score_id,response_id,survey_id,geo_id,dimension_id,submission_date,response_value,normalised_score,weight_applied,is_validated
SC0000125,R000011,S0001,G0004,D005,2024-01-21,4,75.0,1.0,True
SC0000126,R000011,S0001,G0004,D006,2024-01-21,5,100.0,1.0,True
SC0000127,R000011,S0001,G0004,D007,2024-01-21,3,50.0,1.0,True
SC0000128,R000011,S0001,G0004,D008,2024-01-21,3,50.0,1.0,True
SC0000129,R000011,S0001,G0004,D009,2024-01-21,4,75.0,1.0,True
SC0000130,R000011,S0001,G0004,D010,2024-01-21,3,50.0,1.0,True
SC0000131,R000011,S0001,G0004,D011,2024-01-21,2,25.0,1.0,True
SC0000132,R000011,S0001,G0004,D012,2024-01-21,4,75.0,1.0,True
SC0000133,R000012,S0001,G0002,D001,2024-01-21,3,50.0,1.0,True
SC0000134,R000012,S0001,G0002,D002,2024-01-21,4,75.0,1.0,True
SC0000135,R000012,S0001,G0002,D003,2024-01-21,3,50.0,1.0,True
SC0000136,R000012,S0001,G0002,D004,2024-01-21,5,100.0,1.0,True
SC0000137,R000012,S0001,G0002,D005,2024-01-21,3,50.0,1.0,True
SC0000138,R000012,S0001,G0002,D006,2024-01-21,3,50.0,1.0,True
SC0000139,R000012,S0001,G0002,D007,2024-01-21,4,75.0,1.0,True
SC0000140,R000012,S0001,G0002,D008,2024-01-21,3,50.0,1.0,True
SC0000141,R000012,S0001,G0002,D009,2024-01-21,4,75.0,1.0,True
SC0000142,R000012,S0001,G0002,D010,2024-01-21,5,100.0,1.0,True
SC0000143,R000012,S0001,G0002,D011,2024-01-21,2,25.0,1.0,True
SC0000144,R000012,S0001,G0002,D012,2024-01-21,4,75.0,1.0,True
SC0000145,R000013,S0001,G0003,D001,2024-01-21,4,75.0,1.0,True
SC0000146,R000013,S0001,G0003,D002,2024-01-21,4,75.0,1.0,True
SC0000147,R000013,S0001,G0003,D003,2024-01-21,3,50.0,1.0,True
SC0000148,R000013,S0001,G0003,D004,2024-01-21,2,25.0,1.0,True
SC0000149,R000013,S0001,G0003,D005,2024-01-21,4,75.0,1.0,True
SC0000150,R000013,S0001,G0003,D006,2024-01-21,4,75.0,1.0,True
SC0000151,R000013,S0001,G0003,D007,2024-01-21,4,75.0,1.0,True
SC0000152,R000013,S0001,G0003,D008,2024-01-21,4,75.0,1.0,True
SC0000153,R000013,S0001,G0003,D009,2024-01-21,3,50.0,1.0,True
SC0000154,R000013,S0001,G0003,D010,2024-01-21,4,75.0,1.0,True
SC0000155,R000013,S0001,G0003,D011,2024-01-21,4,75.0,1.0,True
SC0000156,R000013,S0001,G0003,D012,2024-01-21,3,50.0,1.0,True
SC0000157,R000014,S0001,G0002,D001,2024-01-21,5,100.0,1.0,True
SC0000158,R000014,S0001,G0002,D002,2024-01-21,4,75.0,1.0,True
SC0000159,R000014,S0001,G0002,D003,2024-01-21,3,50.0,1.0,True
SC0000160,R000014,S0001,G0002,D004,2024-01-21,4,75.0,1.0,True
SC0000161,R000014,S0001,G0002,D005,2024-01-21,3,50.0,1.0,True
SC0000162,R000014,S0001,G0002,D006,2024-01-21,4,75.0,1.0,True
SC0000163,R000014,S0001,G0002,D007,2024-01-21,4,75.0,1.0,True
SC0000164,R000014,S0001,G0002,D008,2024-01-21,3,50.0,1.0,True
SC0000165,R000014,S0001,G0002,D009,2024-01-21,4,75.0,1.0,True
SC0000166,R000014,S0001,G0002,D010,2024-01-21,4,75.0,1.0,True
SC0000167,R000014,S0001,G0002,D011,2024-01-21,4,75.0,1.0,True
SC0000168,R000014,S0001,G0002,D012,2024-01-21,5,100.0,1.0,True
SC0000169,R000015,S0001,G0001,D001,2024-01-21,3,50.0,1.0,True
SC0000170,R000015,S0001,G0001,D002,2024-01-21,3,50.0,1.0,True
SC0000171,R000015,S0001,G0001,D003,2024-01-21,3,50.0,1.0,True
SC0000172,R000015,S0001,G0001,D004,2024-01-21,3,50.0,1.0,True
SC0000173,R000015,S0001,G0001,D005,2024-01-21,3,50.0,1.0,True
SC0000174,R000015,S0001,G0001,D006,2024-01-21,4,75.0,1.0,True
SC0000175,R000015,S0001,G0001,D007,2024-01-21,4,75.0,1.0,True
SC0000176,R000015,S0001,G0001,D008,2024-01-21,4,75.0,1.0,True
SC0000177,R000015,S0001,G0001,D009,2024-01-21,4,75.0,1.0,True
SC0000178,R000015,S0001,G0001,D010,2024-01-21,5,100.0,1.0,True
SC0000179,R000015,S0001,G0001,D011,2024-01-21,3,50.0,1.0,True
SC0000180,R000015,S0001,G0001,D012,2024-01-21,5,100.0,1.0,True
SC0000181,R000016,S0001,G0001,D001,2024-01-21,4,75.0,1.0,True
SC0000182,R000016,S0001,G0001,D002,2024-01-21,3,50.0,1.0,True
SC0000183,R000016,S0001,G0001,D003,2024-01-21,3,50.0,1.0,True
SC0000184,R000016,S0001,G0001,D004,2024-01-21,4,75.0,1.0,True
SC0000185,R000016,S0001,G0001,D005,2024-01-21,3,50.0,1.0,True
SC0000186,R000016,S0001,G0001,D006,2024-01-21,4,75.0,1.0,True
SC0000187,R000016,S0001,G0001,D007,2024-01-21,4,75.0,1.0,True
SC0000188,R000016,S0001,G0001,D008,2024-01-21,3,50.0,1.0,True
SC0000189,R000016,S0001,G0001,D009,2024-01-21,3,50.0,1.0,True
SC0000190,R000016,S0001,G0001,D010,2024-01-21,2,25.0,1.0,True
SC0000191,R000016,S0001,G0001,D011,2024-01-21,3,50.0,1.0,True
SC0000192,R000016,S0001,G0001,D012,2024-01-21,4,75.0,1.0,True
SC0000193,R000017,S0001,G0001,D001,2024-01-21,4,75.0,1.0,True
SC0000194,R000017,S0001,G0001,D002,2024-01-21,3,50.0,1.0,True
SC0000195,R000017,S0001,G0001,D003,2024-01-21,4,75.0,1.0,True
SC0000196,R000017,S0001,G0001,D004,2024-01-21,4,75.0,1.0,True
SC0000197,R000017,S0001,G0001,D005,2024-01-21,3,50.0,1.0,True
SC0000198,R000017,S0001,G0001,D006,2024-01-21,4,75.0,1.0,True
SC0000199,R000017,S0001,G0001,D007,2024-01-21,4,75.0,1.0,True
SC0000200,R000017,S0001,G0001,D008,2024-01-21,3,50.0,1.0,True
SC0000201,R000017,S0001,G0001,D009,2024-01-21,4,75.0,1.0,True
SC0000202,R000017,S0001,G0001,D010,2024-01-21,4,75.0,1.0,True
SC0000203,R000017,S0001,G0001,D011,2024-01-21,4,75.0,1.0,True
SC0000204,R000017,S0001,G0001,D012,2024-01-21,4,75.0,1.0,True
SC0000205,R000018,S0001,G0002,D001,2024-01-21,2,25.0,1.0,True
SC0000206,R000018,S0001,G0002,D002,2024-01-21,3,50.0,1.0,True
SC0000207,R000018,S0001,G0002,D003,2024-01-21,4,75.0,1.0,True
SC0000208,R000018,S0001,G0002,D004,2024-01-21,4,75.0,1.0,True
SC0000209,R000018,S0001,G0002,D005,2024-01-21,4,75.0,1.0,True
SC0000210,R000018,S0001,G0002,D006,2024-01-21,5,100.0,1.0,True
SC0000211,R000018,S0001,G0002,D007,2024-01-21,4,75.0,1.0,True
SC0000212,R000018,S0001,G0002,D008,2024-01-21,4,75.0,1.0,True
SC0000213,R000018,S0001,G0002,D009,2024-01-21,4,75.0,1.0,True
SC0000214,R000018,S0001,G0002,D010,2024-01-21,4,75.0,1.0,True
SC0000215,R000018,S0001,G0002,D011,2024-01-21,3,50.0,1.0,True
SC0000216,R000018,S0001,G0002,D012,2024-01-21,4,75.0,1.0,True
SC0000217,R000019,S0001,G0002,D001,2024-01-21,3,50.0,1.0,True
SC0000218,R000019,S0001,G0002,D002,2024-01-21,3,50.0,1.0,True
SC0000219,R000019,S0001,G0002,D003,2024-01-21,3,50.0,1.0,True
SC0000220,R000019,S0001,G0002,D004,2024-01-21,4,75.0,1.0,True
SC0000221,R000019,S0001,G0002,D005,2024-01-21,5,100.0,1.0,True
SC0000222,R000019,S0001,G0002,D006,2024-01-21,2,25.0,1.0,True
SC0000223,R000019,S0001,G0002,D007,2024-01-21,4,75.0,1.0,True
SC0000224,R000019,S0001,G0002,D008,2024-01-21,2,25.0,1.0,True
SC0000225,R000019,S0001,G0002,D009,2024-01-21,3,50.0,1.0,True
SC0000226,R000019,S0001,G0002,D010,2024-01-21,4,75.0,1.0,True
SC0000227,R000019,S0001,G0002,D011,2024-01-21,4,75.0,1.0,True
SC0000228,R000019,S0001,G0002,D012,2024-01-21,3,50.0,1.0,True
SC0000229,R000020,S0001,G0001,D001,2024-01-21,3,50.0,1.0,True
SC0000230,R000020,S0001,G0001,D002,2024-01-21,4,75.0,1.0,True
SC0000231,R000020,S0001,G0001,D003,2024-01-21,3,50.0,1.0,True
SC0000232,R000020,S0001,G0001,D004,2024-01-21,4,75.0,1.0,True
SC0000233,R000020,S0001,G0001,D005,2024-01-21,4,75.0,1.0,True
SC0000234,R000020,S0001,G0001,D006,2024-01-21,3,50.0,1.0,True
SC0000235,R000020,S0001,G0001,D007,2024-01-21,5,100.0,1.0,True
SC0000236,R000020,S0001,G0001,D008,2024-01-21,4,75.0,1.0,True
SC0000237,R000020,S0001,G0001,D009,2024-01-21,2,25.0,1.0,True
SC0000238,R000020,S0001,G0001,D010,2024-01-21,4,75.0,1.0,True
SC0000239,R000020,S0001,G0001,D011,2024-01-21,3,50.0,1.0,True
SC0000240,R000020,S0001,G0001,D012,2024-01-21,4,75.0,1.0,True
SC0000241,R000021,S0001,G0002,D001,2024-01-21,3,50.0,1.0,True
SC0000242,R000021,S0001,G0002,D002,2024-01-21,3,50.0,1.0,True
SC0000243,R000021,S0001,G0002,D003,2024-01-21,4,75.0,1.0,True
SC0000244,R000021,S0001,G0002,D004,2024-01-21,4,75.0,1.0,True
SC0000245,R000021,S0001,G0002,D005,2024-01-21,3,50.0,1.0,True
SC0000246,R000021,S0001,G0002,D006,2024-01-21,3,50.0,1.0,True
SC0000247,R000021,S0001,G0002,D007,2024-01-21,3,50.0,1.0,True
SC0000248,R000021,S0001,G0002,D008,2024-01-21,3,50.0,1.0,True
SC0000249,R000021,S0001,G0002,D009,2024-01-21,5,100.0,1.0,True
SC0000250,R000021,S0001,G0002,D010,2024-01-21,4,75.0,1.0,True
SC0000251,R000021,S0001,G0002,D011,2024-01-21,2,25.0,1.0,True
SC0000252,R000021,S0001,G0002,D012,2024-01-21,4,75.0,1.0,True
SC0000253,R000022,S0001,G0001,D001,2024-01-21,5,100.0,1.0,True
SC0000254,R000022,S0001,G0001,D002,2024-01-21,4,75.0,1.0,True
SC0000255,R000022,S0001,G0001,D003,2024-01-21,2,25.0,1.0,True
SC0000256,R000022,S0001,G0001,D004,2024-01-21,3,50.0,1.0,True
SC0000257,R000022,S0001,G0001,D005,2024-01-21,5,100.0,1.0,True
SC0000258,R000022,S0001,G0001,D006,2024-01-21,3,50.0,1.0,True
SC0000259,R000022,S0001,G0001,D007,2024-01-21,4,75.0,1.0,True
SC0000260,R000022,S0001,G0001,D008,2024-01-21,4,75.0,1.0,True
SC0000261,R000022,S0001,G0001,D009,2024-01-21,3,50.0,1.0,True
SC0000262,R000022,S0001,G0001,D010,2024-01-21,3,50.0,1.0,True
SC0000263,R000022,S0001,G0001,D011,2024-01-21,1,0.0,1.0,True
SC0000264,R000022,S0001,G0001,D012,2024-01-21,3,50.0,1.0,True
SC0000265,R000023,S0001,G0004,D001,2024-01-21,3,50.0,1.0,True
SC0000266,R000023,S0001,G0004,D002,2024-01-21,3,50.0,1.0,True
SC0000267,R000023,S0001,G0004,D003,2024-01-21,5,100.0,1.0,True
SC0000268,R000023,S0001,G0004,D004,2024-01-21,2,25.0,1.0,True
SC0000269,R000023,S0001,G0004,D005,2024-01-21,3,50.0,1.0,True
SC0000270,R000023,S0001,G0004,D006,2024-01-21,4,75.0,1.0,True
SC0000271,R000023,S0001,G0004,D007,2024-01-21,5,100.0,1.0,True
SC0000272,R000023,S0001,G0004,D008,2024-01-21,2,25.0,1.0,True
SC0000273,R000023,S0001,G0004,D009,2024-01-21,4,75.0,1.0,True
SC0000274,R000023,S0001,G0004,D010,2024-01-21,4,75.0,1.0,True
SC0000275,R000023,S0001,G0004,D011,2024-01-21,3,50.0,1.0,True
SC0000276,R000023,S0001,G0004,D012,2024-01-21,4,75.0,1.0,True
SC0000277,R000024,S0001,G0001,D001,2024-01-21,4,75.0,1.0,True
SC0000278,R000024,S0001,G0001,D002,2024-01-21,3,50.0,1.0,True
SC0000279,R000024,S0001,G0001,D003,2024-01-21,4,75.0,1.0,True
SC0000280,R000024,S0001,G0001,D004,2024-01-21,3,50.0,1.0,True
SC0000281,R000024,S0001,G0001,D005,2024-01-21,4,75.0,1.0,True
SC0000282,R000024,S0001,G0001,D006,2024-01-21,4,75.0,1.0,True
SC0000283,R000024,S0001,G0001,D007,2024-01-21,5,100.0,1.0,True
SC0000284,R000024,S0001,G0001,D008,2024-01-21,3,50.0,1.0,True
SC0000285,R000024,S0001,G0001,D009,2024-01-21,5,100.0,1.0,True
SC0000286,R000024,S0001,G0001,D010,2024-01-21,2,25.0,1.0,True
SC0000287,R000024,S0001,G0001,D011,2024-01-21,3,50.0,1.0,True
SC0000288,R000024,S0001,G0001,D012,2024-01-21,4,75.0,1.0,True
SC0000289,R000025,S0001,G0003,D001,2024-01-21,4,75.0,1.0,True
SC0000290,R000025,S0001,G0003,D002,2024-01-21,3,50.0,1.0,True
SC0000291,R000025,S0001,G0003,D003,2024-01-21,3,50.0,1.0,True
SC0000292,R000025,S0001,G0003,D004,2024-01-21,3,50.0,1.0,True
SC0000293,R000025,S0001,G0003,D005,2024-01-21,3,50.0,1.0,True
SC0000294,R000025,S0001,G0003,D006,2024-01-21,4,75.0,1.0,True
SC0000295,R000025,S0001,G0003,D007,2024-01-21,4,75.0,1.0,True
SC0000296,R000025,S0001,G0003,D008,2024-01-21,3,50.0,1.0,True
SC0000297,R000025,S0001,G0003,D009,2024-01-21,4,75.0,1.0,True
SC0000298,R000025,S0001,G0003,D010,2024-01-21,4,75.0,1.0,True
SC0000299,R000025,S0001,G0003,D011,2024-01-21,4,75.0,1.0,True
SC0000300,R000025,S0001,G0003,D012,2024-01-21,4,75.0,1.0,True
SC0000301,R000026,S0001,G0002,D001,2024-01-21,3,50.0,1.0,True
SC0000302,R000026,S0001,G0002,D002,2024-01-21,3,50.0,1.0,True
SC0000303,R000026,S0001,G0002,D003,2024-01-21,4,75.0,1.0,True
SC0000304,R000026,S0001,G0002,D004,2024-01-21,4,75.0,1.0,True
SC0000305,R000026,S0001,G0002,D005,2024-01-21,3,50.0,1.0,True
SC0000306,R000026,S0001,G0002,D006,2024-01-21,4,75.0,1.0,True
SC0000307,R000026,S0001,G0002,D007,2024-01-21,5,100.0,1.0,True
SC0000308,R000026,S0001,G0002,D008,2024-01-21,3,50.0,1.0,True
SC0000309,R000026,S0001,G0002,D009,2024-01-21,4,75.0,1.0,True
SC0000310,R000026,S0001,G0002,D010,2024-01-21,3,50.0,1.0,True
SC0000311,R000026,S0001,G0002,D011,2024-01-21,3,50.0,1.0,True
SC0000312,R000026,S0001,G0002,D012,2024-01-21,4,75.0,1.0,True
SC0000313,R000027,S0001,G0004,D001,2024-01-21,4,75.0,1.0,True
SC0000314,R000027,S0001,G0004,D002,2024-01-21,4,75.0,1.0,True
SC0000315,R000027,S0001,G0004,D003,2024-01-21,5,100.0,1.0,True
SC0000316,R000027,S0001,G0004,D004,2024-01-21,4,75.0,1.0,True
SC0000317,R000027,S0001,G0004,D005,2024-01-21,4,75.0,1.0,True
SC0000318,R000027,S0001,G0004,D006,2024-01-21,3,50.0,1.0,True
SC0000319,R000027,S0001,G0004,D007,2024-01-21,4,75.0,1.0,True
SC0000320,R000027,S0001,G0004,D008,2024-01-21,3,50.0,1.0,True
SC0000321,R000027,S0001,G0004,D009,2024-01-21,4,75.0,1.0,True
SC0000322,R000027,S0001,G0004,D010,2024-01-21,4,75.0,1.0,True
SC0000323,R000027,S0001,G0004,D011,2024-01-21,3,50.0,1.0,True
SC0000324,R000027,S0001,G0004,D012,2024-01-21,5,100.0,1.0,True
SC0000325,R000028,S0001,G0001,D001,2024-01-21,3,50.0,1.0,True
SC0000326,R000028,S0001,G0001,D002,2024-01-21,3,50.0,1.0,True
SC0000327,R000028,S0001,G0001,D003,2024-01-21,4,75.0,1.0,True
SC0000328,R000028,S0001,G0001,D004,2024-01-21,4,75.0,1.0,True
SC0000329,R000028,S0001,G0001,D005,2024-01-21,4,75.0,1.0,True
SC0000330,R000028,S0001,G0001,D006,2024-01-21,4,75.0,1.0,True
SC0000331,R000028,S0001,G0001,D007,2024-01-21,3,50.0,1.0,True
SC0000332,R000028,S0001,G0001,D008,2024-01-21,3,50.0,1.0,True
SC0000333,R000028,S0001,G0001,D009,2024-01-21,4,75.0,1.0,True
SC0000334,R000028,S0001,G0001,D010,2024-01-21,3,50.0,1.0,True
SC0000335,R000028,S0001,G0001,D011,2024-01-21,4,75.0,1.0,True
SC0000336,R000028,S0001,G0001,D012,2024-01-21,3,50.0,1.0,True
SC0000337,R000029,S0001,G0001,D001,2024-01-21,3,50.0,1.0,True
SC0000338,R000029,S0001,G0001,D002,2024-01-21,3,50.0,1.0,True
SC0000339,R000029,S0001,G0001,D003,2024-01-21,4,75.0,1.0,True
SC0000340,R000029,S0001,G0001,D004,2024-01-21,3,50.0,1.0,True
SC0000341,R000029,S0001,G0001,D005,2024-01-21,3,50.0,1.0,True
SC0000342,R000029,S0001,G0001,D006,2024-01-21,4,75.0,1.0,True
SC0000343,R000029,S0001,G0001,D007,2024-01-21,4,75.0,1.0,True
SC0000344,R000029,S0001,G0001,D008,2024-01-21,3,50.0,1.0,True
SC0000345,R000029,S0001,G0001,D009,2024-01-21,3,50.0,1.0,True
SC0000346,R000029,S0001,G0001,D010,2024-01-21,4,75.0,1.0,True
SC0000347,R000029,S0001,G0001,D011,2024-01-21,2,25.0,1.0,True
