qualitative_id,response_id,survey_id,geo_id,submission_date,free_text_response,language,sentiment_score,sentiment_label,theme_code,theme_label,nlp_confidence_score,human_validated,rumour_flag,ingested_at
Q000027,R000072,S0001,G0003,2024-01-21,Some people got assistance but others did not,English,-0.14,neutral,RUMOUR/MISINFORMATION,Rumour/misinformation,0.978,True,False,2026-05-09 17:29:06
Q000028,R000074,S0001,G0003,2024-01-21,Staff communicated clearly about what aid was available,English,0.492,positive,STAFF_BEHAVIOUR,Staff behaviour,0.883,True,False,2026-05-09 17:29:06
Q000029,R000076,S0001,G0003,2024-01-21,They kept us informed throughout the process,English,0.352,positive,STAFF_BEHAVIOUR,Staff behaviour,0.786,False,False,2026-05-09 17:29:06
Q000030,R000081,S0001,G0002,2024-01-21,The process was not transparent and we could not ask questions,English,-0.767,negative,CULTURAL_SENSITIVITY,Cultural sensitivity,0.819,False,False,2026-05-09 17:29:06
Q000031,R000086,S0001,G0003,2024-01-21,There were rumours that staff were taking goods for themselves,English,-0.517,negative,RESPONSE_SPEED,Response speed,0.772,True,True,2026-05-09 17:29:06
Q000032,R000091,S0001,G0004,2024-01-21,We trust them to help us in times of crisis,English,0.905,positive,STAFF_BEHAVIOUR,Staff behaviour,0.908,False,False,2026-05-09 17:29:06
Q000033,R000093,S0001,G0004,2024-01-21,They kept us informed throughout the process,English,0.385,positive,RESOURCE_ALLOCATION,Resource allocation,0.942,True,False,2026-05-09 17:29:06
Q000034,R000094,S0001,G0003,2024-01-21,We received some help but not everything we needed,English,0.031,neutral,AID_DISTRIBUTION,Aid distribution,0.905,True,False,2026-05-09 17:29:06
Q000035,R000096,S0001,G0004,2024-01-21,The response came too late after the emergency,English,-0.309,negative,TRANSPARENCY_OF_OPERATIONS,Transparency of operations,0.935,False,False,2026-05-09 17:29:06
Q000036,R000098,S0001,G0004,2024-01-21,We have heard mixed things about the organisation,English,0.028,neutral,RESPONSE_SPEED,Response speed,0.959,True,False,2026-05-09 17:29:06
Q000037,R000107,S0001,G0001,2024-01-21,Some people got assistance but others did not,English,-0.021,neutral,CULTURAL_SENSITIVITY,Cultural sensitivity,0.785,False,False,2026-05-09 17:29:06
Q000038,R000111,S0002,G0002,2024-04-23,We trust them somewhat but have had issues in the past,English,-0.075,neutral,RESOURCE_ALLOCATION,Resource allocation,0.798,False,False,2026-05-09 17:29:06
Q000039,R000112,S0002,G0004,2024-04-23,The volunteers were trained and professional,English,0.315,positive,COMMUNITY_INVOLVEMENT,Community involvement,0.816,True,False,2026-05-09 17:29:06
Q000040,R000114,S0002,G0003,2024-04-23,There were rumours that staff were taking goods for themselves,English,-0.414,negative,RESPONSE_SPEED,Response speed,0.968,False,True,2026-05-09 17:29:06
Q000041,R000117,S0002,G0003,2024-04-23,We trust them somewhat but have had issues in the past,English,0.162,neutral,CULTURAL_SENSITIVITY,Cultural sensitivity,0.982,False,False,2026-05-09 17:29:06
Q000042,R000118,S0002,G0001,2024-04-23,The volunteers were trained and professional,English,0.709,positive,COMMUNICATION_QUALITY,Communication quality,0.776,True,False,2026-05-09 17:29:06
Q000043,R000119,S0002,G0004,2024-04-23,They kept us informed throughout the process,English,0.937,positive,COMMUNICATION_QUALITY,Communication quality,0.906,True,False,2026-05-09 17:29:06
Q000044,R000120,S0002,G0002,2024-04-23,Staff communicated clearly about what aid was available,English,0.572,positive,COMMUNICATION_QUALITY,Communication quality,0.911,False,False,2026-05-09 17:29:06
Q000045,R000126,S0002,G0001,2024-04-23,The response was okay but could have been faster,English,-0.096,neutral,COMMUNITY_INVOLVEMENT,Community involvement,0.945,True,False,2026-05-09 17:29:06
Q000046,R000128,S0002,G0002,2024-04-23,The team visited but we are not sure what happens next,English,-0.193,neutral,COMMUNITY_INVOLVEMENT,Community involvement,0.891,True,False,2026-05-09 17:29:06
Q000047,R000131,S0002,G0004,2024-04-23,We did not receive any information about the aid distribution,English,-0.951,negative,RUMOUR/MISINFORMATION,Rumour/misinformation,0.953,False,False,2026-05-09 17:29:06
Q000048,R000136,S0002,G0002,2024-04-23,We felt our community was not prioritised compared to others,English,-0.416,negative,TRANSPARENCY_OF_OPERATIONS,Transparency of operations,0.852,False,False,2026-05-09 17:29:06
Q000049,R000137,S0002,G0003,2024-04-23,We trust them to help us in times of crisis,English,0.368,positive,COMMUNICATION_QUALITY,Communication quality,0.945,True,False,2026-05-09 17:29:06
Q000050,R000139,S0002,G0001,2024-04-23,The response came too late after the emergency,English,-0.475,negative,CULTURAL_SENSITIVITY,Cultural sensitivity,0.953,False,False,2026-05-09 17:29:06
Q000051,R000144,S0002,G0002,2024-04-23,Distribution was fair and transparent,English,0.844,positive,RESOURCE_ALLOCATION,Resource allocation,0.893,True,False,2026-05-09 17:29:06
Q000052,R000145,S0002,G0002,2024-04-23,The process was not transparent and we could not ask questions,English,-0.514,negative,RUMOUR/MISINFORMATION,Rumour/misinformation,0.816,True,False,2026-05-09 17:29:06
Q000053,R000147,S0002,G0003,2024-04-23,They listened to our needs and responded accordingly,English,0.837,positive,COMMUNICATION_QUALITY,Communication quality,0.819,True,False,2026-05-09 17:29:06
Q000054,R000148,S0002,G0001,2024-04-23,We heard the aid was being sold rather than distributed,English,-0.6,negative,TRANSPARENCY_OF_OPERATIONS,Transparency of operations,0.767,True,True,2026-05-09 17:29:06
Q000055,R000150,S0002,G0004,2024-04-23,They kept us informed throughout the process,English,0.882,positive,COMMUNICATION_QUALITY,Communication quality,0.771,True,False,2026-05-09 17:29:06
Q000056,R000151,S0002,G0002,2024-04-23,We trust them somewhat but have had issues in the past,English,-0.03,neutral,RESPONSE_SPEED,Response speed,0.937,True,False,2026-05-09 17:29:06
Q000057,R000152,S0002,G0001,2024-04-23,They listened to our needs and responded accordingly,English,0.421,positive,AID_DISTRIBUTION,Aid distribution,0.932,True,False,2026-05-09 17:29:06
Q000058,R000156,S0002,G0003,2024-04-23,We received food and medicine quickly after the flood,English,0.731,positive,RESOURCE_ALLOCATION,Resource allocation,0.842,True,False,2026-05-09 17:29:06
Q000059,R000157,S0002,G0004,2024-04-23,We received food and medicine quickly after the flood,English,0.868,positive,COMMUNICATION_QUALITY,Communication quality,0.986,True,False,2026-05-09 17:29:06
Q000060,R000160,S0002,G0003,2024-04-23,We felt our community was not prioritised compared to others,English,-0.773,negative,ACCESS_TO_SERVICES,Access to services,0.96,False,False,2026-05-09 17:29:06
Q000061,R000161,S0002,G0001,2024-04-23,We received some help but not everything we needed,English,-0.045,neutral,CULTURAL_SENSITIVITY,Cultural sensitivity,0.904,False,False,2026-05-09 17:29:06
Q000062,R000162,S0002,G0002,2024-04-23,Staff communicated clearly about what aid was available,English,0.966,positive,COMMUNICATION_QUALITY,Communication quality,0.977,False,False,2026-05-09 17:29:06
Q000063,R000163,S0002,G0002,2024-04-23,The response was okay but could have been faster,English,0.185,neutral,RUMOUR/MISINFORMATION,Rumour/misinformation,0.759,False,False,2026-05-09 17:29:06
Q000064,R000166,S0002,G0002,2024-04-23,They kept us informed throughout the process,English,0.933,positive,AID_DISTRIBUTION,Aid distribution,0.838,False,False,2026-05-09 17:29:06
Q000065,R000169,S0002,G0001,2024-04-23,The team visited but we are not sure what happens next,English,0.216,neutral,AID_DISTRIBUTION,Aid distribution,0.977,True,False,2026-05-09 17:29:06
Q000066,R000170,S0002,G0004,2024-04-23,We trust them to help us in times of crisis,English,0.996,positive,COMMUNICATION_QUALITY,Communication quality,0.804,False,False,2026-05-09 17:29:06
Q000067,R000171,S0002,G0001,2024-04-23,We trust them somewhat but have had issues in the past,English,0.216,neutral,TRANSPARENCY_OF_OPERATIONS,Transparency of operations,0.858,True,False,2026-05-09 17:29:06
Q000068,R000173,S0002,G0004,2024-04-23,They kept us informed throughout the process,English,0.344,positive,COMMUNITY_INVOLVEMENT,Community involvement,0.893,True,False,2026-05-09 17:29:06
Q000069,R000179,S0002,G0003,2024-04-23,The process was not transparent and we could not ask questions,English,-0.215,negative,RUMOUR/MISINFORMATION,Rumour/misinformation,0.902,True,False,2026-05-09 17:29:06
Q000070,R000180,S0002,G0001,2024-04-23,The Red Cross team was very helpful and respectful to our community,English,0.521,positive,COMMUNICATION_QUALITY,Communication quality,0.874,False,False,2026-05-09 17:29:06
Q000071,R000181,S0002,G0003,2024-04-23,We trust them somewhat but have had issues in the past,English,-0.034,neutral,AID_DISTRIBUTION,Aid distribution,0.942,False,False,2026-05-09 17:29:06
Q000072,R000184,S0002,G0001,2024-04-23,Distribution was fair and transparent,English,0.763,positive,COMMUNICATION_QUALITY,Communication quality,0.857,False,False,2026-05-09 17:29:06
Q000073,R000187,S0002,G0004,2024-04-23,The process was not transparent and we could not ask questions,English,-0.972,negative,RESPONSE_SPEED,Response speed,0.807,False,False,2026-05-09 17:29:06
Q000074,R000188,S0002,G0003,2024-04-23,There were rumours that staff were taking goods for themselves,English,-0.702,negative,RESPONSE_SPEED,Response speed,0.888,False,True,2026-05-09 17:29:06
Q000075,R000190,S0002,G0001,2024-04-23,We trust them somewhat but have had issues in the past,English,0.023,neutral,ACCESS_TO_SERVICES,Access to services,0.819,False,False,2026-05-09 17:29:06
Q000076,R000191,S0002,G0002,2024-04-23,We received some help but not everything we needed,English,0.205,neutral,RESPONSE_SPEED,Response speed,0.91,True,False,2026-05-09 17:29:06
Q000077,R000193,S0002,G0001,2024-04-23,There were rumours that staff were taking goods for themselves,English,-0.626,negative,ACCESS_TO_SERVICES,Access to services,0.781,True,True,2026-05-09 17:29:06
Q000078,R000197,S0002,G0001,2024-04-23,They listened to our needs and responded accordingly,English,0.542,positive,RESOURCE_ALLOCATION,Resource allocation,0.965,True,False,2026-05-09 17:29:06
Q000079,R000202,S0002,G0004,2024-04-23,We have heard mixed things about the organisation,English,-0.051,neutral,AID_DISTRIBUTION,Aid distribution,0.915,True,False,2026-05-09 17:29:06
Q000080,R000203,S0002,G0004,2024-04-23,Distribution was fair and transparent,English,0.814,positive,COMMUNICATION_QUALITY,Communication quality,0.984,True,False,2026-05-09 17:29:06
Q000081,R000204,S0002,G0003,2024-04-23,The response came too late after the emergency,English,-0.923,negative,TRANSPARENCY_OF_OPERATIONS,Transparency of operations,0.977,False,False,2026-05-09 17:29:06
Q000082,R000206,S0002,G0004,2024-04-23,The response was okay but could have been faster,English,0.029,neutral,COMMUNITY_INVOLVEMENT,Community involvement,0.802,False,False,2026-05-09 17:29:06
Q000083,R000210,S0002,G0002,2024-04-23,Communication was poor and we did not know who to contact,English,-0.34,negative,ACCESS_TO_SERVICES,Access to services,0.913,True,False,2026-05-09 17:29:06
Q000084,R000212,S0002,G0003,2024-04-23,Distribution was fair and transparent,English,0.863,positive,RESOURCE_ALLOCATION,Resource allocation,0.86,True,False,2026-05-09 17:29:06
Q000085,R000214,S0002,G0003,2024-04-23,Some people got assistance but others did not,English,-0.034,neutral,AID_DISTRIBUTION,Aid distribution,0.985,False,False,2026-05-09 17:29:06
Q000086,R000219,S0002,G0002,2024-04-23,We have heard mixed things about the organisation,English,0.256,neutral,RESPONSE_SPEED,Response speed,0.881,False,False,2026-05-09 17:29:06
Q000087,R000220,S0002,G0004,2024-04-23,Some people got assistance but others did not,English,0.186,neutral,COMMUNITY_INVOLVEMENT,Community involvement,0.916,False,False,2026-05-09 17:29:06
Q000088,R000221,S0002,G0003,2024-04-23,We felt our community was not prioritised compared to others,English,-0.283,negative,RUMOUR/MISINFORMATION,Rumour/misinformation,0.946,True,False,2026-05-09 17:29:06
Q000089,R000223,S0002,G0003,2024-04-23,Communication was poor and we did not know who to contact,English,-0.89,negative,ACCESS_TO_SERVICES,Access to services,0.928,True,False,2026-05-09 17:29:06
Q000090,R000224,S0002,G0002,2024-04-23,The process was not transparent and we could not ask questions,English,-0.92,negative,CULTURAL_SENSITIVITY,Cultural sensitivity,0.751,True,False,2026-05-09 17:29:06
Q000091,R000225,S0002,G0004,2024-04-23,Some families were excluded without explanation,English,-0.478,negative,CULTURAL_SENSITIVITY,Cultural sensitivity,0.878,True,False,2026-05-09 17:29:06
Q000092,R000229,S0002,G0002,2024-04-23,We trust them somewhat but have had issues in the past,English,-0.071,neutral,COMMUNICATION_QUALITY,Communication quality,0.753,False,False,2026-05-09 17:29:06
Q000093,R000232,S0002,G0004,2024-04-23,Communication was poor and we did not know who to contact,English,-0.237,negative,TRANSPARENCY_OF_OPERATIONS,Transparency of operations,0.89,True,False,2026-05-09 17:29:06
Q000094,R000247,S0002,G0004,2024-04-23,We have heard mixed things about the organisation,English,0.064,neutral,COMMUNITY_INVOLVEMENT,Community involvement,0.95,True,False,2026-05-09 17:29:06
Q000095,R000248,S0002,G0003,2024-04-23,They kept us informed throughout the process,English,0.542,positive,COMMUNICATION_QUALITY,Communication quality,0.795,True,False,2026-05-09 17:29:06
Q000096,R000249,S0002,G0001,2024-04-23,The Red Cross team was very helpful and respectful to our community,English,0.613,positive,STAFF_BEHAVIOUR,Staff behaviour,0.809,True,False,2026-05-09 17:29:06
Q000097,R000250,S0002,G0004,2024-04-23,The team visited but we are not sure what happens next,English,0.208,neutral,ACCESS_TO_SERVICES,Access to services,0.827,False,False,2026-05-09 17:29:06
Q000098,R000251,S0002,G0002,2024-04-23,Staff communicated clearly about what aid was available,English,0.738,positive,COMMUNITY_INVOLVEMENT,Community involvement,0.883,True,False,2026-05-09 17:29:06
Q000099,R000255,S0002,G0004,2024-04-23,The process was not transparent and we could not ask questions,English,-0.322,negative,RESPONSE_SPEED,Response speed,0.879,True,False,2026-05-09 17:29:06
Q000100,R000256,S0002,G0001,2024-04-23,We trust them somewhat but have had issues in the past,English,0.136,neutral,COMMUNITY_INVOLVEMENT,Community involvement,0.865,False,False,2026-05-09 17:29:06
Q000101,R000262,S0003,G0002,2024-07-06,We trust them to help us in times of crisis,English,0.699,positive,AID_DISTRIBUTION,Aid distribution,0.87,False,False,2026-05-09 17:29:06
Q000102,R000263,S0003,G0003,2024-07-06,The team visited but we are not sure what happens next,English,-0.13,neutral,RUMOUR/MISINFORMATION,Rumour/misinformation,0.867,True,False,2026-05-09 17:29:06
Q000103,R000265,S0003,G0002,2024-07-06,We did not receive any information about the aid distribution,English,-0.506,negative,ACCESS_TO_SERVICES,Access to services,0.969,False,False,2026-05-09 17:29:06
Q000104,R000266,S0003,G0001,2024-07-06,The response was okay but could have been faster,English,0.289,neutral,STAFF_BEHAVIOUR,Staff behaviour,0.871,False,False,2026-05-09 17:29:06
Q000105,R000267,S0003,G0002,2024-07-06,There were rumours that staff were taking goods for themselves,English,-0.786,negative,RUMOUR/MISINFORMATION,Rumour/misinformation,0.769,False,True,2026-05-09 17:29:06
Q000106,R000269,S0003,G0001,2024-07-06,We did not receive any information about the aid distribution,English,-0.438,negative,RESPONSE_SPEED,Response speed,0.87,False,False,2026-05-09 17:29:06
Q000107,R000270,S0003,G0003,2024-07-06,The response was okay but could have been faster,English,0.038,neutral,STAFF_BEHAVIOUR,Staff behaviour,0.972,False,False,2026-05-09 17:29:06
Q000108,R000272,S0003,G0004,2024-07-06,We have heard mixed things about the organisation,English,0.139,neutral,RUMOUR/MISINFORMATION,Rumour/misinformation,0.83,True,False,2026-05-09 17:29:06
Q000109,R000273,S0003,G0001,2024-07-06,We trust them to help us in times of crisis,English,0.978,positive,COMMUNICATION_QUALITY,Communication quality,0.757,False,False,2026-05-09 17:29:06
Q000110,R000276,S0003,G0003,2024-07-06,Staff communicated clearly about what aid was available,English,0.818,positive,COMMUNICATION_QUALITY,Communication quality,0.837,True,False,2026-05-09 17:29:06
Q000111,R000277,S0003,G0001,2024-07-06,We trust them to help us in times of crisis,English,0.614,positive,RESOURCE_ALLOCATION,Resource allocation,0.873,True,False,2026-05-09 17:29:06
Q000112,R000279,S0003,G0003,2024-07-06,They listened to our needs and responded accordingly,English,0.7,positive,AID_DISTRIBUTION,Aid distribution,0.914,True,False,2026-05-09 17:29:06
Q000113,R000280,S0003,G0002,2024-07-06,The volunteers were trained and professional,English,0.595,positive,COMMUNITY_INVOLVEMENT,Community involvement,0.938,False,False,2026-05-09 17:29:06
Q000114,R000284,S0003,G0002,2024-07-06,Some people got assistance but others did not,English,-0.054,neutral,TRANSPARENCY_OF_OPERATIONS,Transparency of operations,0.982,True,False,2026-05-09 17:29:06
Q000115,R000285,S0003,G0003,2024-07-06,The response came too late after the emergency,English,-0.455,negative,ACCESS_TO_SERVICES,Access to services,0.756,False,False,2026-05-09 17:29:06
Q000116,R000291,S0003,G0004,2024-07-06,They listened to our needs and responded accordingly,English,0.612,positive,COMMUNITY_INVOLVEMENT,Community involvement,0.861,True,False,2026-05-09 17:29:06
Q000117,R000293,S0003,G0001,2024-07-06,We heard the aid was being sold rather than distributed,English,-0.583,negative,TRANSPARENCY_OF_OPERATIONS,Transparency of operations,0.864,False,True,2026-05-09 17:29:06
Q000118,R000299,S0003,G0004,2024-07-06,We received some help but not everything we needed,English,0.089,neutral,RUMOUR/MISINFORMATION,Rumour/misinformation,0.795,False,False,2026-05-09 17:29:06
Q000119,R000301,S0003,G0003,2024-07-06,They kept us informed throughout the process,English,0.732,positive,COMMUNICATION_QUALITY,Communication quality,0.97,True,False,2026-05-09 17:29:06
Q000120,R000302,S0003,G0002,2024-07-06,Staff communicated clearly about what aid was available,English,0.658,positive,COMMUNITY_INVOLVEMENT,Community involvement,0.893,False,False,2026-05-09 17:29:06
Q000121,R000303,S0003,G0004,2024-07-06,Staff communicated clearly about what aid was available,English,0.52,positive,COMMUNITY_INVOLVEMENT,Community involvement,0.899,False,False,2026-05-09 17:29:06
Q000122,R000306,S0003,G0004,2024-07-06,Some people got assistance but others did not,English,-0.184,neutral,COMMUNITY_INVOLVEMENT,Community involvement,0.879,True,False,2026-05-09 17:29:06
Q000123,R000307,S0003,G0004,2024-07-06,Some people got assistance but others did not,English,0.071,neutral,STAFF_BEHAVIOUR,Staff behaviour,0.932,False,False,2026-05-09 17:29:06
Q000124,R000315,S0003,G0004,2024-07-06,We received food and medicine quickly after the flood,English,0.582,positive,COMMUNICATION_QUALITY,Communication quality,0.917,False,False,2026-05-09 17:29:06
Q000125,R000318,S0003,G0002,2024-07-06,The process was not transparent and we could not ask questions,English,-0.369,negative,RESPONSE_SPEED,Response speed,0.761,False,False,2026-05-09 17:29:06
Q000126,R000319,S0003,G0001,2024-07-06,The team visited but we are not sure what happens next,English,0.298,neutral,COMMUNICATION_QUALITY,Communication quality,0.962,False,False,2026-05-09 17:29:06
Q000127,R000320,S0003,G0002,2024-07-06,The response came too late after the emergency,English,-0.959,negative,TRANSPARENCY_OF_OPERATIONS,Transparency of operations,0.924,True,False,2026-05-09 17:29:06
Q000128,R000321,S0003,G0004,2024-07-06,They listened to our needs and responded accordingly,English,0.664,positive,COMMUNITY_INVOLVEMENT,Community involvement,0.752,False,False,2026-05-09 17:29:06
Q000129,R000322,S0003,G0001,2024-07-06,We received food and medicine quickly after the flood,English,0.372,positive,COMMUNICATION_QUALITY,Communication quality,0.961,True,False,2026-05-09 17:29:06
Q000130,R000325,S0003,G0002,2024-07-06,We received food and medicine quickly after the flood,English,0.713,positive,COMMUNITY_INVOLVEMENT,Community involvement,0.834,False,False,2026-05-09 17:29:06
Q000131,R000326,S0003,G0003,2024-07-06,Communication was poor and we did not know who to contact,English,-0.377,negative,RESPONSE_SPEED,Response speed,0.953,False,False,2026-05-09 17:29:06
Q000132,R000329,S0003,G0001,2024-07-06,We have heard mixed things about the organisation,English,-0.017,neutral,COMMUNICATION_QUALITY,Communication quality,0.933,True,False,2026-05-09 17:29:06
Q000133,R000330,S0003,G0001,2024-07-06,We trust them to help us in times of crisis,English,0.655,positive,RESOURCE_ALLOCATION,Resource allocation,0.934,False,False,2026-05-09 17:29:06
Q000134,R000331,S0003,G0004,2024-07-06,They listened to our needs and responded accordingly,English,0.982,positive,AID_DISTRIBUTION,Aid distribution,0.879,False,False,2026-05-09 17:29:06
Q000135,R000332,S0003,G0001,2024-07-06,We trust them to help us in times of crisis,English,0.381,positive,RESOURCE_ALLOCATION,Resource allocation,0.896,False,False,2026-05-09 17:29:06
Q000136,R000333,S0003,G0002,2024-07-06,The response was okay but could have been faster,English,0.059,neutral,RESOURCE_ALLOCATION,Resource allocation,0.79,True,False,2026-05-09 17:29:06
Q000137,R000334,S0003,G0003,2024-07-06,We received food and medicine quickly after the flood,English,0.647,positive,RESOURCE_ALLOCATION,Resource allocation,0.836,False,False,2026-05-09 17:29:06
Q000138,R000337,S0003,G0001,2024-07-06,The Red Cross team was very helpful and respectful to our community,English,0.687,positive,COMMUNITY_INVOLVEMENT,Community involvement,0.804,True,False,2026-05-09 17:29:06
Q000139,R000338,S0003,G0004,2024-07-06,We did not receive any information about the aid distribution,English,-0.857,negative,ACCESS_TO_SERVICES,Access to services,0.986,False,False,2026-05-09 17:29:06
Q000140,R000339,S0003,G0001,2024-07-06,There were rumours that staff were taking goods for themselves,English,-0.839,negative,ACCESS_TO_SERVICES,Access to services,0.938,True,True,2026-05-09 17:29:06
Q000141,R000341,S0003,G0002,2024-07-06,The Red Cross team was very helpful and respectful to our community,English,0.966,positive,STAFF_BEHAVIOUR,Staff behaviour,0.932,False,False,2026-05-09 17:29:06
Q000142,R000343,S0003,G0001,2024-07-06,We trust them to help us in times of crisis,English,0.791,positive,COMMUNICATION_QUALITY,Communication quality,0.86,True,False,2026-05-09 17:29:06
Q000143,R000345,S0003,G0001,2024-07-06,We have heard mixed things about the organisation,English,0.15,neutral,RESPONSE_SPEED,Response speed,0.826,False,False,2026-05-09 17:29:06
Q000144,R000346,S0003,G0002,2024-07-06,They kept us informed throughout the process,English,0.626,positive,COMMUNITY_INVOLVEMENT,Community involvement,0.779,False,False,2026-05-09 17:29:06
Q000145,R000348,S0003,G0001,2024-07-06,Some people got assistance but others did not,English,-0.126,neutral,COMMUNITY_INVOLVEMENT,Community involvement,0.982,False,False,2026-05-09 17:29:06
Q000146,R000351,S0003,G0002,2024-07-06,Some people got assistance but others did not,English,0.143,neutral,AID_DISTRIBUTION,Aid distribution,0.89,False,False,2026-05-09 17:29:06
Q000147,R000353,S0003,G0001,2024-07-06,We have heard mixed things about the organisation,English,0.211,neutral,CULTURAL_SENSITIVITY,Cultural sensitivity,0.869,False,False,2026-05-09 17:29:06
Q000148,R000354,S0003,G0004,2024-07-06,The response came too late after the emergency,English,-0.972,negative,ACCESS_TO_SERVICES,Access to services,0.898,False,False,2026-05-09 17:29:06
Q000149,R000355,S0003,G0004,2024-07-06,We trust them to help us in times of crisis,English,0.44,positive,RESOURCE_ALLOCATION,Resource allocation,0.81,True,False,2026-05-09 17:29:06
Q000150,R000357,S0003,G0003,2024-07-06,The volunteers were trained and professional,English,0.341,positive,COMMUNITY_INVOLVEMENT,Community involvement,0.877,True,False,2026-05-09 17:29:06
Q000151,R000362,S0003,G0004,2024-07-06,They listened to our needs and responded accordingly,English,0.314,positive,COMMUNITY_INVOLVEMENT,Community involvement,0.75,True,False,2026-05-09 17:29:06
